States,Percentage,Percentage2,Death,Death2
Beijing ,8.46,9.87,8.92,19.92
Tianjin ,9.33,10.04,13.97,17.23
Hebei ,11.43,13.92,121.95,144.05
Shanxi ,12.40,13.08,56.89,65.87
Inner Mongolia,9.93,9.73,25.86,32.22
Liaoning ,8.47,13.60,57.55,98.74
Jilin ,8.83,11.80,32.08,47.94
Heilongjiang,10.62,11.49,43.52,59.76
Shanghai ,6.97,7.13,13.46,21.37
Jiangsu ,11.68,15.44,141.31,197.43
Zhejiang ,10.45,10.84,75.55,84.74
Anhui ,11.73,31.13,113.48,303.27
Fujian ,8.41,11.70,34.95,54.68
Jiangxi ,13.40,13.54,72.56,80.67
Shandong ,12.63,20.07,197.45,321.14
Henan ,12.52,21.29,176.31,302.97
Hubei ,10.67,14.93,94.22,141.62
Hunan ,12.76,19.96,133.64,216.50
Guangdong ,10.02,12.39,95.66,128.06
Guangxi ,13.13,22.15,81.69,145.13
Sichuan ,10.55,43.45,217.84,885.42
Guizhou ,8.12,26.43,39.27,133.78
Yunnan ,15.08,18.68,82.74,106.81
Shanxi ,10.23,11.25,53.20,64.22
Gansu ,11.33,23.39,40.34,88.90
Qinghai ,11.30,23.00,6.37,17.11
Ningxia ,10.63,13.48,5.40,8.36
Xinjiang ,14.20,15.41,22.17,30.25