Year,China,UK,China2,UK2
1960,59716467625.3148,72328047042.1588,59.72,72.3300
1961,50056868957.6732,76694360635.9159,50.06,76.6900
1962,47209359005.6056,80601939635.2483,47.21,80.6
1963,50706799902.5103,85443766670.4279,50.71,85.4400
1964,59708343488.5043,93387598813.9269,59.7100,93.3900
1965,70436266146.7219,100595782309.165,70.4400,100.6
1966,76720285969.6157,107090721447.057,76.7200,107.090
1967,72881631326.6715,111185383409.521,72.8800,111.190
1968,70846535055.6503,104702736248.084,70.8500,104.700
1969,79705906247.4612,112676874821.987,79.7100,112.680
1970,92602973434.0726,130671946244.3,92.6000,130.7
1971,99800958648.1436,148113896325.14,99.8000,148.11
1972,113687586299.051,169965034965.035,113.690,169.970
1973,138544284708.957,192537971582.558,138.540,192.540
1974,144182133387.722,206131369798.971,144.180,206.13
1975,163431551779.761,241756637168.142,163.43,241.760
1976,153940455341.506,232614555256.065,153.940,232.61
1977,174938098826.569,263066457352.172,174.940,263.070
1978,149540752829.268,335883029721.956,149.540,335.880
1979,178280594413.043,438994070309.191,178.280,438.990
1980,191149211575,564947710899.373,191.15,564.950
1981,195866382432.54,540765675241.158,195.87,540.770
1982,205089699858.779,515048916841.37,205.090,515.05
1983,230686747153.257,489618008185.539,230.690,489.620
1984,259946510957.143,461487097632.349,259.950,461.490
1985,309488028132.653,489285164271.047,309.490,489.29
1986,300758100107.246,601452653180.885,300.760,601.450
1987,272972974764.574,745162608269.325,272.970,745.160
1988,312353631207.819,910122732123.799,312.350,910.120
1989,347768051311.741,926884816753.927,347.770,926.880
1990,360857912565.966,1093169389204.55,360.860,1093.17
1991,383373318083.624,1142797178130.51,383.370,1142.80
1992,426915712711.146,1179659529659.53,426.920,1179.66
1993,444731282436.762,1061388722255.55,444.730,1061.39
1994,564324670005.917,1140489745944.29,564.320,1140.49
1995,734547898220.508,1335218557677.13,734.550,1335.22
1996,863746717503.789,1408781591263.65,863.750,1408.78
1997,961603952951.82,1552483628028.81,961.60,1552.48
1998,1029043097554.08,1638511096389.53,1029.04,1638.51
1999,1093997267271.06,1665623685487.79,1094.00,1665.62
2000,1211346869605.24,1647951278559.54,1211.35,1647.95
2001,1339395718865.3,1621510004318.41,1339.4,1621.51
2002,1470550015081.55,1768408273381.29,1470.55,1768.41
2003,1660287965662.68,2038395102040.82,1660.29,2038.40
2004,1955347004963.27,2398555474185.28,1955.35,2398.56
2005,2285965892360.54,2520701818181.82,2285.97,2520.70
2006,2752131773355.16,2692612695492.18,2752.13,2692.61
2007,3552182311652.97,3074359743897.56,3552.18,3074.36